STATECD,UNITCD,UNITCD_NAME,COUNTYCD,COUNTY_NAME
13,3, Central,159, Jasper
13,1, Southeast,161, Jeff Davis
13,3, Central,163, Jefferson
13,1, Southeast,165, Jenkins
13,1, Southeast,167, Johnson
13,3, Central,169, Jones
13,3, Central,171, Lamar
13,2, Southwest,173, Lanier
13,1, Southeast,175, Laurens
13,3, Central,177, Lee
13,1, Southeast,179, Liberty
13,3, Central,181, Lincoln
13,1, Southeast,183, Long
13,2, Southwest,185, Lowndes
13,5, North,187, Lumpkin
13,3, Central,189, McDuffie
13,1, Southeast,191, McIntosh
13,3, Central,193, Macon
13,4, North Central,195, Madison
13,3, Central,197, Marion
13,4, North Central,199, Meriwether
13,2, Southwest,201, Miller
13,2, Southwest,205, Mitchell
13,3, Central,207, Monroe
13,1, Southeast,209, Montgomery
13,3, Central,211, Morgan
13,5, North,213, Murray
13,3, Central,215, Muscogee
13,4, North Central,217, Newton
13,4, North Central,219, Oconee
13,4, North Central,221, Oglethorpe
13,4, North Central,223, Paulding
13,3, Central,225, Peach
13,5, North,227, Pickens
13,1, Southeast,229, Pierce
13,3, Central,231, Pike
13,4, North Central,233, Polk
13,3, Central,235, Pulaski
13,3, Central,237, Putnam
13,3, Central,239, Quitman
13,5, North,241, Rabun
13,3, Central,243, Randolph
13,3, Central,245, Richmond
13,4, North Central,247, Rockdale
13,3, Central,249, Schley
13,1, Southeast,251, Screven
13,2, Southwest,253, Seminole
13,4, North Central,255, Spalding
13,5, North,257, Stephens
13,3, Central,259, Stewart
13,3, Central,261, Sumter
13,3, Central,263, Talbot
13,3, Central,265, Taliaferro
13,1, Southeast,267, Tattnall
13,3, Central,269, Taylor
13,1, Southeast,271, Telfair
13,3, Central,273, Terrell
13,2, Southwest,275, Thomas
13,2, Southwest,277, Tift
13,1, Southeast,279, Toombs
13,5, North,281, Towns
13,1, Southeast,283, Treutlen
13,4, North Central,285, Troup
13,2, Southwest,287, Turner
13,3, Central,289, Twiggs
13,5, North,291, Union
13,3, Central,293, Upson
13,5, North,295, Walker
13,4, North Central,297, Walton
13,1, Southeast,299, Ware
13,3, Central,301, Warren
13,3, Central,303, Washington
13,1, Southeast,305, Wayne
13,3, Central,307, Webster
13,1, Southeast,309, Wheeler
13,5, North,311, White
13,5, North,313, Whitfield
13,2, Southwest,315, Wilcox
13,3, Central,317, Wilkes
13,3, Central,319, Wilkinson
13,2, Southwest,321, Worth
15,1, Hawaii,1, Hawaii
15,1, Hawaii,3, Honolulu
15,1, Hawaii,5, Kalawao
15,1, Hawaii,7, Kauai
15,1, Hawaii,9, Maui
16,2, Southwestern,1, Ada
16,2, Southwestern,3, Adams
16,3, Southeastern,5, Bannock
16,3, Southeastern,7, Bear Lake
16,1, Northern,9, Benewah
16,3, Southeastern,11, Bingham
16,3, Southeastern,13, Blaine
16,2, Southwestern,15, Boise
16,1, Northern,17, Bonner
16,3, Southeastern,19, Bonneville
16,1, Northern,21, Boundary
16,3, Southeastern,23, Butte
16,3, Southeastern,25, Camas
16,2, Southwestern,27, Canyon
16,3, Southeastern,29, Caribou
16,3, Southeastern,31, Cassia
16,3, Southeastern,33, Clark
16,1, Northern,35, Clearwater
16,3, Southeastern,37, Custer
16,2, Southwestern,39, Elmore
16,3, Southeastern,41, Franklin
16,3, Southeastern,43, Fremont
16,2, Southwestern,45, Gem
16,3, Southeastern,47, Gooding
16,1, Northern,49, Idaho
16,3, Southeastern,51, Jefferson
16,3, Southeastern,53, Jerome
16,1, Northern,55, Kootenai
16,1, Northern,57, Latah
16,3, Southeastern,59, Lemhi
16,1, Northern,61, Lewis
16,3, Southeastern,63, Lincoln
16,3, Southeastern,65, Madison
16,3, Southeastern,67, Minidoka
16,1, Northern,69, Nez Perce
16,3, Southeastern,71, Oneida
16,2, Southwestern,73, Owyhee
16,2, Southwestern,75, Payette
16,3, Southeastern,77, Power
16,1, Northern,79, Shoshone
16,3, Southeastern,81, Teton
16,3, Southeastern,83, Twin Falls
16,2, Southwestern,85, Valley
16,2, Southwestern,87, Washington
17,3, Prairie,1, Adams
17,1, Southern,3, Alexander
17,2, Claypan,5, Bond
17,3, Prairie,7, Boone
17,3, Prairie,9, Brown
17,3, Prairie,11, Bureau
17,2, Claypan,13, Calhoun
17,3, Prairie,15, Carroll
17,3, Prairie,17, Cass
17,3, Prairie,19, Champaign
17,3, Prairie,21, Christian
17,2, Claypan,23, Clark
17,2, Claypan,25, Clay
17,2, Claypan,27, Clinton
17,3, Prairie,29, Coles
17,3, Prairie,31, Cook
17,2, Claypan,33, Crawford
17,2, Claypan,35, Cumberland
17,3, Prairie,37, DeKalb
17,3, Prairie,39, De Witt
17,3, Prairie,41, Douglas
17,3, Prairie,43, DuPage
17,3, Prairie,45, Edgar
17,2, Claypan,47, Edwards
17,2, Claypan,49, Effingham
17,2, Claypan,51, Fayette
17,3, Prairie,53, Ford
17,1, Southern,55, Franklin
17,3, Prairie,57, Fulton
17,1, Southern,59, Gallatin
17,2, Claypan,61, Greene
17,3, Prairie,63, Grundy
17,1, Southern,65, Hamilton
17,3, Prairie,67, Hancock
17,1, Southern,69, Hardin
17,3, Prairie,71, Henderson
17,3, Prairie,73, Henry
17,3, Prairie,75, Iroquois
17,1, Southern,77, Jackson
17,2, Claypan,79, Jasper
17,2, Claypan,81, Jefferson
17,2, Claypan,83, Jersey
17,3, Prairie,85, Jo Daviess
17,1, Southern,87, Johnson
17,3, Prairie,89, Kane
17,3, Prairie,91, Kankakee
17,3, Prairie,93, Kendall
